iter	Passed	Remaining
311	1905	4201
312	1911	4195
313	1917	4188
314	1922	4181
315	1928	4174
316	1933	4166
317	1939	4159
318	1945	4153
319	1951	4146
320	1955	4137
321	1961	4129
322	1966	4121
323	1971	4113
324	1977	4106
325	1982	4098
326	1987	4090
327	1992	4082
328	1997	4074
329	2003	4068
330	2008	4060
331	2014	4053
332	2019	4045
333	2025	4038
334	2031	4032
335	2036	4024
336	2043	4019
337	2048	4012
338	2053	4003
339	2058	3996
340	2064	3989
341	2069	3981
342	2074	3974
343	2080	3967
344	2085	3959
345	2091	3952
346	2096	3945
347	2101	3937
348	2108	3932
349	2115	3929
350	2122	3924
351	2128	3917
352	2134	3911
353	2140	3905
354	2145	3898
355	2150	3890
356	2156	3884
357	2161	3875
358	2166	3868
359	2172	3861
360	2177	3853
361	2182	3846
362	2188	3840
363	2192	3831
364	2197	3823
365	2203	3816
366	2208	3808
367	2213	3800
368	2218	3793
369	2223	3786
370	2228	3778
371	2233	3770
372	2239	3763
373	2244	3756
374	2249	3749
375	2255	3742
376	2260	3734
377	2264	3727
378	2270	3720
379	2275	3712
380	2280	3704
381	2285	3698
382	2291	3690
383	2295	3682
384	2301	3676
385	2306	3669
386	2312	3663
387	2318	3656
388	2325	3651
389	2330	3645
390	2336	3639
391	2341	3632
392	2346	3624
393	2352	3618
394	2357	3610
395	2362	3603
396	2368	3598
397	2373	3590
398	2378	3583
399	2385	3577
400	2390	3571
401	2397	3566
402	2403	3560
403	2409	3554
404	2415	3549
405	2421	3542
406	2426	3535
407	2432	3529
408	2437	3522
409	2442	3514
410	2448	3508
411	2452	3500
412	2458	3493
413	2463	3487
414	2468	3480
415	2474	3474
416	2480	3467
417	2484	3459
418	2490	3452
419	2495	3446
420	2500	3439
421	2505	3432
422	2511	3426
423	2517	3419
424	2522	3412
425	2528	3406
426	2533	3399
427	2538	3392
428	2543	3385
429	2548	3378
430	2553	3371
431	2559	3364
432	2565	3358
433	2571	3353
434	2577	3347
435	2583	3341
436	2588	3334
437	2594	3328
438	2600	3323
439	2606	3317
440	2612	3312
441	2618	3305
442	2624	3299
443	2631	3295
444	2638	3290
445	2645	3286
446	2651	3279
447	2658	3276
448	2665	3270
449	2672	3266
450	2679	3261
451	2685	3255
452	2692	3251
453	2697	3244
454	2704	3239
455	2711	3234
456	2716	3227
457	2723	3222
458	2728	3216
459	2733	3209
460	2751	3217
461	2758	3211
462	2764	3206
463	2771	3201
464	2777	3195
465	2783	3189
466	2789	3183
467	2794	3176
468	2799	3170
469	2805	3163
470	2811	3158
471	2817	3152
472	2823	3145
473	2828	3138
474	2833	3132
475	2839	3125
476	2844	3118
477	2851	3113
478	2856	3107
479	2862	3100
480	2868	3095
481	2874	3089
482	2880	3082
483	2886	3077
484	2892	3071
485	2898	3065
486	2904	3060
487	2910	3053
488	2917	3049
489	2923	3043
490	2930	3038
491	2936	3032
492	2942	3026
493	2950	3022
494	2955	3015
495	2962	3010
496	2967	3003
497	2973	2996
498	2979	2991
499	2984	2984
500	2990	2978
501	2996	2972
502	3002	2966
503	3009	2961
504	3015	2955
505	3020	2949
506	3026	2942
507	3031	2936
508	3036	2929
509	3042	2922
510	3047	2916
511	3053	2910
512	3058	2903
513	3063	2896
514	3069	2890
515	3074	2884
516	3080	2877
517	3085	2871
518	3090	2864
519	3096	2858
520	3101	2851
521	3108	2846
522	3113	2840
523	3118	2833
524	3123	2826
525	3129	2819
526	3133	2812
527	3138	2805
528	3143	2799
529	3148	2792
530	3153	2785
531	3159	2779
532	3164	2772
533	3168	2765
534	3175	2759
535	3180	2753
536	3185	2746
537	3192	2741
538	3197	2734
539	3202	2728
540	3209	2722
541	3214	2716
542	3223	2712
543	3231	2709
544	3242	2707
545	3250	2702
546	3258	2698
547	3266	2694
548	3273	2688
549	3279	2683
550	3286	2677
551	3291	2671
552	3297	2665
553	3303	2659
554	3309	2653
555	3316	2648
556	3323	2643
557	3332	2639
558	3341	2636
559	3347	2630
560	3355	2625
561	3361	2619
562	3367	2613
563	3374	2608
564	3380	2602
565	3387	2597
566	3393	2591
567	3400	2586
568	3406	2580
569	3412	2574
570	3419	2568
571	3423	2561
572	3428	2555
573	3435	2549
574	3447	2548
575	3456	2544
576	3466	2541
577	3476	2538
578	3490	2537
579	3499	2534
580	3507	2529
581	3519	2527
582	3528	2524
583	3536	2518
584	3545	2514
585	3554	2511
586	3566	2508
587	3572	2503
588	3580	2498
589	3587	2493
590	3594	2487
591	3600	2481
592	3608	2476
593	3615	2471
594	3621	2465
595	3628	2459
596	3634	2453
597	3639	2446
598	3646	2441
599	3653	2435
600	3661	2430
601	3668	2425
602	3674	2419
603	3681	2413
604	3688	2407
605	3695	2402
606	3701	2396
607	3709	2391
608	3714	2385
609	3720	2378
610	3728	2373
611	3734	2367
612	3741	2362
613	3749	2356
614	3756	2351
615	3761	2344
616	3767	2338
617	3775	2333
618	3783	2328
619	3791	2324
620	3798	2317
621	3805	2312
622	3816	2309
623	3823	2303
624	3830	2298
625	3838	2293
626	3845	2287
627	3853	2282
628	3860	2276
629	3866	2270
630	3875	2266
631	3882	2260
632	3891	2255
633	3897	2249
634	3905	2244
635	3912	2239
636	3919	2233
637	3926	2227
638	3933	2222
639	3941	2217
640	3947	2211
641	3956	2206
642	3962	2200
643	3971	2195
644	3978	2189
645	3985	2184
646	3992	2178
647	3999	2172
648	4006	2167
649	4013	2161
650	4020	2155
651	4026	2149
652	4035	2144
653	4041	2138
654	4049	2132
655	4055	2126
656	4062	2121
657	4068	2114
658	4074	2108
659	4080	2102
660	4086	2095
661	4092	2089
662	4098	2083
663	4104	2077
664	4110	2070
665	4116	2064
666	4122	2058
667	4129	2052
668	4135	2045
669	4141	2039
670	4147	2033
671	4153	2027
672	4160	2021
673	4167	2015
674	4172	2008
675	4179	2003
676	4185	1997
677	4192	1990
678	4198	1984
679	4204	1978
680	4213	1973
681	4218	1967
682	4225	1961
683	4231	1954
684	4237	1948
685	4244	1942
686	4250	1936
687	4258	1931
688	4264	1924
689	4269	1918
690	4277	1912
691	4283	1906
692	4291	1900
693	4294	1893
694	4300	1887
695	4306	1881
696	4312	1874
697	4319	1868
698	4327	1863
699	4332	1856
700	4339	1850
701	4345	1844
702	4350	1838
703	4357	1832
704	4363	1825
705	4369	1819
706	4376	1813
707	4382	1807
708	4388	1801
709	4394	1794
710	4399	1788
711	4406	1782
712	4412	1776
713	4420	1770
714	4426	1764
715	4432	1758
716	4438	1751
717	4444	1745
718	4449	1739
719	4456	1732
720	4462	1726
721	4471	1721
722	4477	1715
723	4485	1709
724	4491	1703
725	4497	1697
726	4503	1691
727	4510	1685
728	4517	1679
729	4522	1672
730	4529	1666
731	4538	1661
732	4545	1655
733	4552	1649
734	4561	1644
735	4569	1639
736	4578	1633
737	4585	1627
738	4593	1622
739	4602	1617
740	4612	1612
741	4625	1608
742	4632	1602
743	4639	1596
744	4649	1591
745	4658	1586
746	4670	1581
747	4676	1575
748	4683	1569
749	4689	1563
750	4697	1557
751	4702	1550
752	4708	1544
753	4715	1538
754	4721	1532
755	4728	1526
756	4735	1520
757	4743	1514
758	4749	1508
759	4755	1501
760	4763	1495
761	4771	1490
762	4780	1484
763	4786	1478
764	4794	1472
765	4802	1467
766	4810	1461
767	4817	1455
768	4824	1449
769	4832	1443
770	4838	1437
771	4846	1431
772	4853	1425
773	4860	1419
774	4866	1412
775	4873	1406
776	4880	1400
777	4886	1394
778	4893	1388
779	4899	1381
780	4906	1375
781	4914	1370
782	4919	1363
783	4928	1357
784	4934	1351
785	4941	1345
786	4947	1339
787	4953	1332
788	4959	1326
789	4965	1319
790	4972	1313
791	4977	1307
792	4983	1300
793	4990	1294
794	4996	1288
795	5004	1282
796	5010	1276
797	5015	1269
798	5021	1263
799	5028	1257
800	5034	1250
801	5040	1244
802	5047	1238
803	5053	1231
804	5059	1225
805	5066	1219
806	5072	1213
807	5078	1206
808	5085	1200
809	5092	1194
810	5098	1188
811	5105	1181
812	5111	1175
813	5119	1169
814	5125	1163
815	5131	1157
816	5138	1150
817	5144	1144
818	5151	1138
819	5157	1132
820	5163	1125
821	5170	1119
822	5176	1113
823	5183	1107
824	5190	1100
825	5196	1094
826	5204	1088
827	5209	1082
828	5216	1076
829	5222	1069
830	5229	1063
831	5235	1057
832	5241	1050
833	5248	1044
834	5255	1038
835	5261	1032
836	5268	1025
837	5273	1019
838	5279	1013
839	5285	1006
840	5291	1000
841	5299	994
842	5304	987
843	5312	981
844	5318	975
845	5324	969
846	5331	963
847	5337	956
848	5345	950
849	5351	944
850	5356	937
851	5362	931
852	5369	925
853	5377	919
854	5384	913
855	5391	906
856	5397	900
857	5403	894
858	5410	888
859	5417	881
860	5425	875
861	5432	869
862	5438	863
863	5446	857
864	5452	850
865	5458	844
866	5465	838
867	5473	832
868	5479	825
869	5484	819
870	5491	813
871	5496	806
872	5502	800
873	5509	794
874	5515	787
875	5522	781
876	5528	775
877	5533	768
878	5541	762
879	5546	756
880	5553	750
881	5559	743
882	5565	737
883	5571	731
884	5577	724
885	5583	718
886	5589	712
887	5594	705
888	5601	699
889	5608	693
890	5614	686
891	5621	680
892	5627	674
893	5634	668
894	5640	661
895	5646	655
896	5652	649
897	5659	642
898	5667	636
899	5673	630
900	5681	624
901	5687	617
902	5693	611
903	5701	605
904	5709	599
905	5718	593
906	5725	587
907	5733	580
908	5741	574
909	5748	568
910	5759	562
911	5767	556
912	5774	550
913	5783	544
914	5790	537
915	5803	532
916	5817	526
917	5824	520
918	5833	514
919	5840	507
920	5850	501
921	5858	495
922	5870	489
923	5879	483
924	5888	477
925	5895	471
926	5902	464
927	5910	458
928	5916	452
929	5924	445
930	5933	439
931	5943	433
932	5952	427
933	5961	421
934	5970	415
935	5978	408
936	5986	402
937	5993	396
938	6000	389
939	6008	383
940	6016	377
941	6024	370
942	6032	364
943	6040	358
944	6046	351
945	6052	345
946	6059	339
947	6067	332
948	6075	326
949	6082	320
950	6090	313
951	6097	307
952	6105	301
953	6112	294
954	6119	288
955	6125	281
956	6132	275
957	6139	269
958	6148	262
959	6155	256
960	6161	250
961	6169	243
962	6177	237
963	6185	230
964	6191	224
965	6198	218
966	6205	211
967	6211	205
968	6219	198
969	6227	192
970	6235	186
971	6242	179
972	6247	173
973	6254	166
974	6261	160
975	6268	154
976	6275	147
977	6281	141
978	6288	134
979	6294	128
980	6303	122
981	6310	115
982	6317	109
983	6325	102
984	6333	96
985	6341	90
986	6349	83
987	6356	77
988	6363	70
989	6370	64
990	6378	57
991	6384	51
992	6392	45
993	6399	38
994	6405	32
995	6413	25
996	6419	19
997	6426	12
998	6432	6
999	6441	0
