iter	RMSE
910	0.2382219376
911	0.2378556749
912	0.237720295
913	0.2374892924
914	0.237238584
915	0.236817695
916	0.2366019489
917	0.2363120141
918	0.2360154359
919	0.2358351331
920	0.2356982186
921	0.235347854
922	0.2351210429
923	0.2348379244
924	0.2344815877
925	0.2341681228
926	0.2339937145
927	0.2338812761
928	0.2335881326
929	0.2334144752
930	0.2331760014
931	0.2329499759
932	0.2327224363
933	0.2323883574
934	0.2322597595
935	0.2319528078
936	0.2316889847
937	0.2314764955
938	0.23125374
939	0.2309841044
940	0.2306715025
941	0.2304869888
942	0.2302095577
943	0.2298990835
944	0.2297384204
945	0.2295893192
946	0.2293770267
947	0.2292608808
948	0.2291046725
949	0.2287072462
950	0.2284045121
951	0.2281919121
952	0.2279255788
953	0.2276621286
954	0.2273766732
955	0.2273231184
956	0.2271309799
957	0.2268471346
958	0.2267528741
959	0.2265947553
960	0.226337694
961	0.2261961625
962	0.2258945846
963	0.2255928425
964	0.225347856
965	0.2251801204
966	0.2248762619
967	0.2246984647
968	0.2245158534
969	0.2242951741
970	0.223981138
971	0.2237744759
972	0.2236952118
973	0.2233922449
974	0.2232614073
975	0.2230216643
976	0.2226337859
977	0.2224324674
978	0.2221251389
979	0.2218517341
980	0.2217559839
981	0.2213477972
982	0.2212103231
983	0.2211393247
984	0.2210094019
985	0.2209790948
986	0.2207970259
987	0.2207058437
988	0.2205845949
989	0.2203915283
990	0.2201638825
991	0.219988012
992	0.2196881166
993	0.2193439205
994	0.2192937589
995	0.2190105199
996	0.2187687774
997	0.2184845381
998	0.2182581068
999	0.218170307
