formula,A_site,B_site,X_site,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,bond_len_BX,inv_bond_sq,stability_index,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site_encoded
CsZnBr3,Cs,Zn,Br,1.88,0.74,1.96,0.79,1.65,2.96,0.47,0.0,3.36,1.005662977687534,0.37755102040816324,157.46400000000003,4.6179892174391535,1.31,0.37755102040816324,2.7,0.1371742112482853,0.3796890834126404,0.0,0.6,0.0,0.0,0,0
CsZnCl3,Cs,Zn,Cl,1.88,0.74,1.81,0.79,1.65,3.16,0.47,0.0,3.61,1.0232251068934746,0.4088397790055249,132.65099999999998,3.810600048304489,1.5100000000000002,0.4088397790055249,2.55,0.15378700499807768,0.4183351265752327,0.0,0.6,0.0,0.0,1,0
CsZnF3,Cs,Zn,F,1.88,0.74,1.33,0.79,1.65,3.98,0.47,0.0,3.4,1.0965279070573994,0.556390977443609,70.95794400000003,5.965241917001691,2.33,0.556390977443609,2.0700000000000003,0.23337767509160068,0.6100982340018614,0.0,0.6,0.0,0.0,0,0
CsZnO3,Cs,Zn,O,1.88,0.74,1.4,0.79,1.65,3.44,0.47,0.0,1.46,1.083789832846671,0.5285714285714286,78.40275199999996,5.214539845839418,1.79,0.5285714285714286,2.1399999999999997,0.218359682068303,0.5728603402189547,0.0,0.6,0.0,0.0,0,0
CsMgI3,Cs,Mg,I,1.88,0.72,2.2,0.79,1.31,2.66,0.47,0.0,3.05,0.9880122148086007,0.3272727272727272,199.17670399999997,4.4845849153377975,1.35,0.3272727272727272,2.92,0.11728279226871835,0.32334945211917837,0.0,0.6,0.0,0.0,0,0
CsMgBr3,Cs,Mg,Br,1.88,0.72,1.96,0.79,1.31,2.96,0.47,0.0,3.36,1.0131679252822174,0.3673469387755102,153.99065599999994,4.280021776189016,1.65,0.3673469387755102,2.6799999999999997,0.13922922699933174,0.37218413581795745,0.0,0.6,0.0,0.0,0,0
CsMgCl3,Cs,Mg,Cl,1.88,0.72,1.81,0.79,1.31,3.16,0.47,0.0,3.61,1.0313138429163478,0.39779005524861877,129.55421600000003,3.3761634888241,1.85,0.39779005524861877,2.5300000000000002,0.1562280304332203,0.4102463905523593,0.0,0.6,0.0,0.0,0,0
CsMgF3,Cs,Mg,F,1.88,0.72,1.33,0.79,1.31,3.98,0.47,0.0,3.4,1.107225740296984,0.5413533834586466,68.92099999999998,5.153692035342658,2.67,0.5413533834586466,2.05,0.2379535990481856,0.5994004007622771,0.0,0.6,0.0,0.0,0,0
CsMgO3,Cs,Mg,O,1.88,0.72,1.4,0.79,1.31,3.44,0.47,0.0,1.46,1.0940142652320166,0.5142857142857143,76.225024,4.470324354404381,2.13,0.5142857142857143,2.12,0.22249911000355996,0.5626359078336086,0.0,0.6,0.0,0.0,0,0
CsSrI3,Cs,Sr,I,1.88,1.18,2.2,0.79,0.95,2.66,0.47,0.05,3.05,0.8535490139766609,0.5363636363636363,308.915776,3.2317527937417396,1.7100000000000002,0.5363636363636363,3.38,0.08753194916144394,0.45781265295111806,0.0,0.6,0.0,0.0,1,0
CsSrBr3,Cs,Sr,Br,1.88,1.18,1.96,0.79,0.95,2.96,0.47,0.05,3.36,0.8647420508778161,0.6020408163265306,247.67315199999993,3.0855098128820515,2.01,0.6020408163265306,3.1399999999999997,0.10142399285975091,0.5206100102223586,0.0,0.6,0.0,0.0,1,0
CsSrCl3,Cs,Sr,Cl,1.88,1.18,1.81,0.79,0.95,3.16,0.47,0.05,3.61,0.8726501747753712,0.6519337016574586,213.84719200000004,2.5369086621264922,2.21,0.6519337016574586,2.99,0.11185557208532342,0.5689100586933359,0.0,0.6,0.0,0.0,1,0
CsSrF3,Cs,Sr,F,1.88,1.18,1.33,0.79,0.95,3.98,0.47,0.05,3.4,0.9043078755413616,0.8872180451127819,126.50600799999997,3.6386587160480746,3.0300000000000002,0.8872180451127819,2.51,0.15872763924382155,0.8023182655178998,0.0,0.6,0.0,0.0,0,0
CsSrO3,Cs,Sr,O,1.88,1.18,1.4,0.79,0.95,3.44,0.47,0.05,1.46,0.8989574582526649,0.8428571428571429,137.38809600000002,3.245296892942271,2.49,0.8428571428571429,2.58,0.15023135628868456,0.7576927148129604,0.0,0.6,0.0,0.0,0,0
CsCaI3,Cs,Ca,I,1.88,1.0,2.2,0.79,1.0,2.66,0.47,0.02,3.05,0.901561146012848,0.45454545454545453,262.14400000000006,3.506835613168382,1.6600000000000001,0.45454545454545453,3.2,0.09765624999999999,0.4098005209149309,0.0,0.6,0.0,0.0,1,0
CsCaBr3,Cs,Ca,Br,1.88,1.0,1.96,0.79,1.0,2.96,0.47,0.02,3.36,0.9173277161338994,0.5102040816326531,207.474688,3.302351917468326,1.96,0.5102040816326531,2.96,0.11413440467494522,0.4680243449662752,0.0,0.6,0.0,0.0,1,0
CsCaCl3,Cs,Ca,Cl,1.88,1.0,1.81,0.79,1.0,3.16,0.47,0.02,3.61,0.9285494742271745,0.5524861878453039,177.50432800000002,2.6110196401281116,2.16,0.5524861878453039,2.81,0.12664479933131545,0.5130107592415329,0.0,0.6,0.0,0.0,1,0
CsCaF3,Cs,Ca,F,1.88,1.0,1.33,0.79,1.0,3.98,0.47,0.02,3.4,0.974168569789192,0.7518796992481203,101.19469600000001,3.7676745577768465,2.98,0.7518796992481203,2.33,0.18419937740610434,0.7324575712700692,0.0,0.6,0.0,0.0,0,0
CsCaO3,Cs,Ca,O,1.88,1.0,1.4,0.79,1.0,3.44,0.47,0.02,1.46,0.9663792676216149,0.7142857142857143,110.59199999999998,3.3168914020505067,2.44,0.7142857142857143,2.4,0.1736111111111111,0.6902709054440106,0.0,0.6,0.0,0.0,0,0
CsMnI3,Cs,Mn,I,1.88,0.67,2.2,0.79,1.55,2.66,0.47,0.0,3.05,1.0052249711641512,0.30454545454545456,189.11922400000003,4.991763954186072,1.11,0.30454545454545456,2.87,0.12140489747356407,0.3061366957636279,0.0,0.6,0.0,0.0,0,0
CsMnBr3,Cs,Mn,Br,1.88,0.67,1.96,0.79,1.55,2.96,0.47,0.0,3.36,1.0324296729111568,0.3418367346938776,145.53157599999997,4.877958884822163,1.41,0.3418367346938776,2.63,0.14457343607685524,0.35292238818901794,0.0,0.6,0.0,0.0,0,0
CsMnCl3,Cs,Mn,Cl,1.88,0.67,1.81,0.79,1.55,3.16,0.47,0.0,3.61,1.0521064607170807,0.3701657458563536,122.02393599999999,4.000935497148457,1.61,0.3701657458563536,2.48,0.1625910509885536,0.38945377275162657,0.0,0.6,0.0,0.0,0,0
CsMnF3,Cs,Mn,F,1.88,0.67,1.33,0.79,1.55,3.98,0.47,0.0,3.4,1.1349063838044087,0.5037593984962406,64.0,6.343926436399868,2.4299999999999997,0.5037593984962406,2.0,0.25,0.5717197572548525,0.0,0.6,0.0,0.0,0,0
CsMnO3,Cs,Mn,O,1.88,0.67,1.4,0.79,1.55,3.44,0.47,0.0,1.46,1.1204397305757854,0.47857142857142865,70.95794399999998,5.518258313177715,1.89,0.47857142857142865,2.07,0.23337767509160076,0.5362104424898403,0.0,0.6,0.0,0.0,0,0
