formula,A_site,B_site,X_site,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,chi_diff_BX,r_ratio_BX,bond_len_BX,inv_bond_sq,stability_index,volume,density,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site_encoded
RbTiI3,Rb,Ti,I,1.72,0.6,2.2,0.82,1.54,2.66,0.48,0.08,3.05,0.9899494936611664,0.2727272727272727,1.12,0.2727272727272727,2.8000000000000003,0.12755102040816324,0.26998622554395446,175.61600000000004,4.859300821671365,0.0,0.6,-0.2852462675438472,0.8814896953211067,0,4
RbTiBr3,Rb,Ti,Br,1.72,0.6,1.96,0.82,1.54,2.96,0.48,0.08,3.36,1.0164659979556618,0.30612244897959184,1.42,0.30612244897959184,2.56,0.152587890625,0.311163060598672,134.21772800000002,4.613619237118724,0.0,0.6,0.0686032672862345,0.7963438535315042,0,4
RbTiCl3,Rb,Ti,Cl,1.72,0.6,1.81,0.82,1.54,3.16,0.48,0.08,3.61,1.0357207209910841,0.3314917127071823,1.62,0.3314917127071823,2.41,0.1721733441228629,0.34333283568765216,111.98016800000002,3.55011384458691,0.0,0.6,0.29243052868141123,0.733297481481374,0,4
KPbI3,K,Pb,I,1.64,1.19,2.2,0.82,2.33,2.66,0.5,0.36,3.05,0.8009705132024608,0.5409090909090909,0.33000000000000007,0.5409090909090909,3.39,0.08701629815264399,0.4332522321413311,311.66575200000005,3.340701776726963,0.0,0.6,0.549475892889561,1.056816733808212,1,2
KPbBr3,K,Pb,Br,1.64,1.19,1.96,0.82,2.33,2.96,0.5,0.36,3.36,0.8081220356417685,0.6071428571428571,0.6299999999999999,0.6071428571428571,3.15,0.10078105316200554,0.49064552163964514,250.04699999999997,3.2275566202188997,0.0,0.6,0.9033254277196426,0.9716708920186095,1,2
KPbCl3,K,Pb,Cl,1.64,1.19,1.81,0.82,2.33,3.16,0.5,0.36,3.61,0.8131727983645296,0.6574585635359116,0.8300000000000001,0.6574585635359116,3.0,0.1111111111111111,0.5346274199192211,216.0,2.709970847632754,0.0,0.6,1.1271526891148194,0.9086245199684793,1,2
KSnI3,K,Sn,I,1.64,1.1,2.2,0.82,1.96,2.66,0.5,1.11,3.05,0.8228151635625279,0.5,0.7000000000000002,0.5,3.3000000000000003,0.09182736455463726,0.41140758178126396,287.4960000000001,3.110377845165716,0.0,0.6,0.6087848050921617,0.6174808518861143,1,3
KSnBr3,K,Sn,Br,1.64,1.1,1.96,0.82,1.96,2.96,0.5,1.11,3.36,0.8318903308077029,0.5612244897959184,1.0,0.5612244897959184,3.06,0.10679653124866505,0.4668772264737109,229.22092800000001,2.87966597769944,0.0,0.6,0.9626343399222433,0.5323350100965119,1,3
KSnCl3,K,Sn,Cl,1.64,1.1,1.81,0.82,1.96,3.16,0.5,1.11,3.61,0.8383224725407522,0.6077348066298343,1.2000000000000002,0.6077348066298343,2.91,0.11809024456489647,0.5094777457429985,197.13736800000004,2.223792298023846,0.0,0.6,1.1864616013174198,0.4692886380463815,1,3
KGeI3,K,Ge,I,1.64,0.73,2.2,0.82,2.01,2.66,0.5,1.23,3.05,0.9267201500874888,0.3318181818181818,0.6500000000000004,0.3318181818181818,2.93,0.11648359328588567,0.3075025952563031,201.23005600000002,4.063351990792727,0.0,0.6,-0.46059186942599667,1.3038530783017765,0,0
