formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index
AcAlO3,3.85863387,3.85863387,3.85863387,4.1024,1.26,0.675,1.26,1.1,1.61,3.44,0.35,0.432835,1.461112979,0.921022335,0.535714286,57.45141324,8.728230082,1.83,0.535714286,0,0.605814008
AcBO3,3.721668,3.721668,3.721668,0.8071,1.26,0.41,1.26,1.1,2.04,3.44,0.35,0.27972325,1.461112979,1.067172586,0.325396825,51.54812641,9.206878606,1.4,0.325396825,0,0.655801084
AcCrO3,3.9442869,3.94430226,3.9442715,2.0031,1.26,0.94,1.26,1.1,1.66,3.44,0.35,0.67592827,1.461112979,0.810081008,0.746031746,61.36284504,8.848788047,1.78,0.746031746,3.90E-06,0.602901702
AcCuO3,3.91333125,3.91333125,3.91333125,0,1.26,0.82,1.26,1.1,1.9,3.44,0.35,1.235784,1.461112979,0.856816451,0.650793651,59.92938666,9.380470938,1.54,0.650793651,0,0.59780666
AcFeO3,3.95356962,3.9535675,3.95358451,0.9888,1.26,0.8525,1.26,1.1,1.83,3.44,0.35,0.15323635,1.461112979,0.843634659,0.676587302,61.79731063,8.889999466,1.61,0.676587302,2.34E-06,0.584359203
AcGaO3,3.94626209,3.94626209,3.94626209,2.8959,1.26,0.76,1.26,1.1,1.81,3.44,0.35,0.30116615,1.461112979,0.882266444,0.603174603,61.45507829,9.314495003,1.63,0.603174603,0,0.575304774
AcMgO3,4.016262,4.016262,4.016262,0,1.26,0.86,1.26,1.1,1.31,3.44,0.35,-0.42,1.461112979,0.840650103,0.682539683,64.78375373,7.671748359,2.13,0.682539683,0,0.558487655
AcMnO3,3.96302168,3.96302168,3.96302168,0,1.26,0.8775,1.26,1.1,1.55,3.44,0.35,-0.52,1.461112979,0.833767587,0.696428571,62.24139883,8.802373253,1.89,0.696428571,0,0.583966718
AcNiO3,3.87883955,3.87883649,3.87881202,0,1.26,0.74,1.26,1.1,1.91,3.44,0.35,1.1571612,1.461112979,0.891089109,0.587301587,58.3582178,9.494942767,1.53,0.587301587,3.89E-06,0.603411503
AcPdO3,4.05520794,4.05520691,4.05520589,0,1.26,0.84625,1.26,1.1,2.2,3.44,0.35,0.5621412,1.461112979,0.846138026,0.671626984,66.68667374,9.497547055,1.24,0.671626984,2.53E-07,0.540665223
AcScO3,4.125046,4.125046,4.125046,3.3847,1.26,0.885,1.26,1.1,1.36,3.44,0.35,0.17938023,1.461112979,0.830852316,0.702380952,70.19180131,7.569207409,2.08,0.702380952,0,0.518865425
AcSiO3,3.970175,3.970175,3.970175,0,1.26,0.54,1.26,1.1,1.9,3.44,0.35,1.38952128,1.461112979,0.99009901,0.428571429,62.57904784,8.042345508,1.54,0.428571429,0,0.546128559
AcTiO3,3.99582001,3.99582001,3.99582001,0,1.26,0.851666667,1.26,1.1,1.54,3.44,0.35,0.075545,1.461112979,0.843967585,0.675925926,63.79957007,8.403352518,1.9,0.675925926,1.36E-16,0.565900742
AcVO3,3.96789433,3.96789746,3.96789433,0,1.26,0.7775,1.26,1.1,1.63,3.44,0.35,0.527662,1.461112979,0.874688696,0.617063492,62.47131331,8.66374623,1.81,0.617063492,4.55E-07,0.568026606
AgAsO3,6.389075483,6.389075483,6.389075851,0.2921,1.086666667,0.66,1.26,1.93,2.18,3.44,1.304473,0.8044863,1.461112979,0.864372152,0.523809524,119.2805516,6.425733028,1.26,0.523809524,3.32E-08,0.265900149
AgAsO3,7.778960826,7.778960826,5.158002727,0.7378,1.086666667,0.66,1.26,1.93,2.18,3.44,1.304473,0.8044863,1.461112979,0.864372152,0.523809524,304.7254522,5.030528133,1.26,0.523809524,0.219137341,0.104082925
AgAuO3,6.423519613,6.423519613,7.539733,0,1.086666667,1.07,1.26,1.93,2.54,3.44,1.304473,2.30861025,1.461112979,0.712272331,0.849206349,294.2950671,7.963340123,0.9,0.849206349,0.094832977,0.121116213
AgAuO3,7.28592645,7.28592645,7.28592645,0.2423,1.086666667,1.07,1.26,1.93,2.54,3.44,1.304473,2.30861025,1.461112979,0.712272331,0.849206349,273.4886772,8.569172737,0.9,0.849206349,0,0.130330456
AgBO3,3.483287,3.483287,3.483287,0,1.086666667,0.41,1.26,1.93,2.04,3.44,1.304473,0.27972325,1.461112979,0.99376918,0.325396825,42.26372549,6.548744367,1.4,0.325396825,1.56E-16,0.728784584
AgBO3,6.001194421,6.001194421,6.001195138,0,1.086666667,0.41,1.26,1.93,2.04,3.44,1.304473,0.27972325,1.461112979,0.99376918,0.325396825,109.9353807,5.035218551,1.4,0.325396825,6.90E-08,0.280175057
AgBiO3,6.303216286,6.303216286,6.303216494,0,1.086666667,1.035,1.26,1.93,2.02,3.44,1.304473,0.94236213,1.461112979,0.723134872,0.821428571,154.6300754,7.836022365,1.42,0.821428571,1.90E-08,0.227359668
AgBiO3,6.68804174,6.68804174,3.49088122,0,1.086666667,1.035,1.26,1.93,2.02,3.44,1.304473,0.94236213,1.461112979,0.723134872,0.821428571,149.2659069,8.117625484,1.42,0.821428571,0.32831304,0.235530292
AgCO3,6.031251394,6.031251806,6.031252522,0,1.086666667,0.3,1.26,1.93,2.55,3.44,1.304473,1.262122611,1.461112979,1.063842648,0.238095238,113.345982,4.918859547,0.89,0.238095238,9.46E-08,0.270195315
AgGeO3,2.993014,5.324973,7.139362,0,1.086666667,0.77,1.26,1.93,2.01,3.44,1.304473,1.232676413,1.461112979,0.817534252,0.611111111,113.7851435,6.669478851,1.43,0.611111111,0.40341022,0.284964943
AgGeO3,3.170383,5.158475,9.308652,0,1.086666667,0.77,1.26,1.93,2.01,3.44,1.304473,1.232676413,1.461112979,0.817534252,0.611111111,152.2368732,4.984913263,1.43,0.611111111,0.532720481,0.212988984
AgGeO3,5.158475128,9.308652172,3.170383214,0,1.086666667,0.77,1.26,1.93,2.01,3.44,1.304473,1.232676413,1.461112979,0.817534252,0.611111111,152.2296316,4.985150398,1.43,0.611111111,0.532720463,0.212999116
AgGeO3,10.40786161,8.850075154,3.17289304,0,1.086666667,0.77,1.26,1.93,2.01,3.44,1.304473,1.232676413,1.461112979,0.817534252,0.611111111,292.2558937,5.193309184,1.43,0.611111111,0.509289324,0.110946529
AgNO3,4.151836391,4.151836044,4.151836391,1.7204,1.086666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.878092344,0.5,66.94305711,4.213744204,0.4,0.5,4.82E-08,0.47144322
AgNO3,6.201768483,6.201684965,6.201686928,1.8539,1.086666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.878092344,0.5,125.104504,4.509524595,0.4,0.5,7.69E-06,0.252267899
AgNO3,6.90205076,7.20285772,10.01382351,2.0089,1.086666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.878092344,0.5,497.8321247,4.532948436,0.4,0.5,0.213487587,0.063394564
AgNO3,7.077779,7.419143,10.226522,2.0027,1.086666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.878092344,0.5,537.0054543,4.202280132,0.4,0.5,0.209659539,0.058770074
AgPO3,4.050258,5.872686,11.96470882,2.287,1.086666667,0.55,1.26,1.93,2.19,3.44,1.304473,0.74660911,1.461112979,0.916903056,0.436507937,264.7268376,4.687932528,1.25,0.436507937,0.568090962,0.117892716
AgPO3,5.97752081,7.317044275,13.59925276,2.0232,1.086666667,0.55,1.26,1.93,2.19,3.44,1.304473,0.74660911,1.461112979,0.916903056,0.436507937,523.5448041,4.740841827,1.25,0.436507937,0.453920576,0.059611643
AgPS3,6.780253846,6.780254284,6.619494314,1.3228,1.086666667,0.55,0.88,1.93,2.19,2.58,1.304473,0.74660911,2.07710426,0.972624735,0.625,222.4638175,3.508777848,0.39,0.625,0.013798019,0.065788359
AgPbO3,6.063536039,6.063536039,6.063536146,0,1.1225,1.086666667,1.26,2.33,1.93,3.44,0.3567212,1.304473,1.461112979,0.718012649,0.862433862,146.4184684,8.235107872,1.51,0.862433862,1.02E-08,0.248854541
AgPd3Se,8.775577,8.775577,8.775577,0,1.086666667,1.013333333,0.84625,1.93,2.55,2.2,1.304473,2.020604712,0.5621412,0.735102799,1.197439685,675.8137812,9.948056706,0.35,1.197439685,0,0.025671579
AgPdO3,6.477634781,6.477634781,6.838195,0,1.086666667,0.84625,1.26,1.93,2.2,3.44,1.304473,0.5621412,1.461112979,0.787938056,0.671626984,267.596322,6.510355757,1.24,0.671626984,0.031551254,0.123510665
AgRuO3,7.214616145,7.214616145,7.214616145,0,1.086666667,0.661,1.26,1.93,2.2,3.44,1.304473,1.046272,1.461112979,0.863922192,0.524603175,265.5367835,6.427025654,1.24,0.524603175,1.51E-16,0.119464423
AgSbO3,6.365893471,6.365892971,6.365893763,0.1333,1.086666667,0.83,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.794064369,0.658730159,137.6369854,6.698918635,1.39,0.658730159,6.29E-08,0.239089455
AgSbO3,7.270079791,7.270079791,7.270079791,0.0946,1.086666667,0.83,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.794064369,0.658730159,271.7080679,6.786835394,1.39,0.658730159,1.50E-16,0.121113635
AgSbO3,8.102397,8.3480744,13.44267748,0,1.086666667,0.83,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.794064369,0.658730159,857.910165,6.44836024,1.39,0.658730159,0.302557119,0.038357806
AgSbO3,8.165706637,8.165706637,9.517102341,0.2875,1.086666667,0.83,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.794064369,0.658730159,430.8249683,6.420372778,1.39,0.658730159,0.090553982,0.076382648
AgSnO3,6.605299848,6.605299848,3.286703,0,1.086666667,0.83,1.26,1.93,1.96,3.44,1.304473,1.1120702,1.461112979,0.794064369,0.658730159,134.5949134,6.775067907,1.48,0.658730159,0.348419281,0.24449328
AgTeO3,5.461745684,6.91813729,7.39980156,1.1676,1.293333333,1.086666667,1.26,2.1,1.93,3.44,1.9708757,1.304473,1.461112979,0.769496593,0.862433862,274.1800335,6.867123404,1.51,0.862433862,0.153043969,0.144337176
AgTeO3,6.92440761,6.518629494,13.29551785,1.5732,1.293333333,1.086666667,1.26,2.1,1.93,3.44,1.9708757,1.304473,1.461112979,0.769496593,0.862433862,600.036388,6.275713149,1.51,0.862433862,0.426453763,0.065953286
Al3BC,3.481176444,3.481176444,11.46837206,0.453,0.41,0.3,0.675,2.04,2.55,1.61,0.27972325,1.262122611,0.432835,0.787001777,0.444444444,120.3606472,2.863195326,0.94,0.444444444,0.750606862,0.035447973
AlAgO3,3.408284409,3.408284409,11.579135,0,1.086666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.857671592,0.535714286,116.487244,5.213036809,1.83,0.535714286,0.76932791,0.272997319
AlAgO3,3.751028,3.751028,3.751028,0,1.086666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.857671592,0.535714286,52.77775564,5.75291885,1.83,0.535714286,0,0.602539933
AlAgO3,4.003727,4.003727,4.003727,0,1.086666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.857671592,0.535714286,64.17906274,4.730922085,1.83,0.535714286,0,0.495499684
AlAgO3,4.313100198,5.740123171,10.01382801,0.0622,1.086666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.857671592,0.535714286,247.9195772,4.898784497,1.83,0.535714286,0.443481925,0.128270247
AlAgO3,4.727991,5.293314,9.496944,0.032,1.086666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.857671592,0.535714286,237.6775573,5.109883301,1.83,0.535714286,0.400477404,0.133797678
AlAgO3,6.049468028,6.049468028,10.846984,0.0481,1.086666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.857671592,0.535714286,343.774771,5.299274482,1.83,0.535714286,0.3621359,0.092504477
AlBiO3,3.642762492,3.642762492,12.876102,0.6411,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.838788198,0.535714286,147.9710356,6.373232459,1.83,0.535714286,0.793220367,0.209972864
AlBiO3,3.787194,3.787194,3.787194,1.586,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.838788198,0.535714286,54.31911151,8.680681447,1.83,0.535714286,0,0.571988408
AlBiO3,4.274584,4.274584,4.274584,0,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.838788198,0.535714286,78.10549111,6.0370519,1.83,0.535714286,0,0.397794081
AlBiO3,5.094505,7.207137,8.683036793,3.0001,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.838788198,0.535714286,284.0844557,6.639249619,1.83,0.535714286,0.257853299,0.10936854
AlBiO3,5.384863,5.395965,9.424568,0.948,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.838788198,0.535714286,273.8452643,6.887493997,1.83,0.535714286,0.3458175,0.113457876
AlBiO3,5.45999944,5.45999944,5.459999208,2.9779,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.838788198,0.535714286,113.6752137,8.296037246,1.83,0.535714286,2.45E-08,0.273321695
AlBiO3,6.323772693,6.323772693,11.833578,0.7618,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.838788198,0.535714286,409.8256907,6.903328623,1.83,0.535714286,0.389821275,0.07581248
AlCo3C,3.722911,3.722911,3.722911,0,0.675,0.3,0.768333333,1.61,2.55,1.88,0.432835,1.262122611,0.66225547,0.955455474,0.390455531,51.59979334,6.944422257,0.67,0.390455531,0,0.137619488
AlCoO3,3.151764268,3.151764268,11.266135,0,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,96.91991245,4.588688787,1.83,0.535714286,0.799930081,0.292258267
AlCoO3,3.694482,3.694482,3.694482,0,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,50.42671355,4.409719415,1.83,0.535714286,1.47E-16,0.561719051
AlCoO3,4.769809,4.920832,7.300502,0,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,171.3532126,5.190860548,1.83,0.535714286,0.250632266,0.1653056
AlCoO3,4.846808021,5.366148668,4.936906816,0.8939,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,93.40382959,4.761424852,1.83,0.535714286,0.054953581,0.303260003
AlCoO3,4.859753715,5.325595422,4.964776402,0.3481,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,93.2390744,4.769838379,1.83,0.535714286,0.048384866,0.303795869
AlCoO3,4.859754,4.877269817,5.186674642,0.0255,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,93.23909211,4.769837474,1.83,0.535714286,0.036968048,0.303795812
AlCoO3,5.175649032,5.175649032,5.175648975,2.5603,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,88.0214769,5.052577293,1.83,0.535714286,6.29E-09,0.321803799
AlCoO3,5.290845537,5.545188294,11.85510791,0,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,300.835416,4.435002914,1.83,0.535714286,0.491640936,0.094156619
AlCoO3,5.414479802,5.414479802,11.557588,0,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,293.4346036,4.546859608,1.83,0.535714286,0.475293274,0.096531375
AlCoO3,6.367889677,6.367889677,5.030233599,0.8272,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,199.7340156,4.453275665,1.83,0.535714286,0.130411269,0.141816834
AlCrO3,3.18012745,3.18012745,11.738046,0,0.94,0.675,1.26,1.66,1.61,3.44,0.67592827,0.432835,1.461112979,0.804067118,0.535714286,102.8053083,4.10189598,1.83,0.535714286,0.819013333,0.290888264
AlCrO3,3.826701,3.826701,3.726416,0,0.94,0.675,1.26,1.66,1.61,3.44,0.67592827,0.432835,1.461112979,0.804067118,0.535714286,54.56829642,3.863934818,1.83,0.535714286,0.015263752,0.548026228
AlCrO3,5.019513,5.052393,7.532182,1.8029,0.94,0.675,1.26,1.66,1.61,3.44,0.67592827,0.432835,1.461112979,0.804067118,0.535714286,191.0202959,4.415202888,1.83,0.535714286,0.245617765,0.1565533
AlCrO3,5.515928196,5.515928196,11.631256,1.1578,0.94,0.675,1.26,1.66,1.61,3.44,0.67592827,0.432835,1.461112979,0.804067118,0.535714286,306.4745698,4.127879334,1.83,0.535714286,0.467369983,0.097576963
AlCuO3,3.15823634,3.15823634,11.229472,0,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.760208911,0.535714286,97.00166525,4.742751582,1.83,0.535714286,0.796753352,0.296234918
AlCuO3,3.699148,3.699148,3.699148,0,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.760208911,0.535714286,50.61801642,4.544378009,1.83,0.535714286,1.47E-16,0.567688788
AlCuO3,4.563595,4.870815,8.702906,0,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.760208911,0.535714286,193.4519105,4.756270435,1.83,0.535714286,0.381467721,0.148539657
AlCuO3,5.287445213,5.287445213,5.287445411,0.1349,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.760208911,0.535714286,93.92117846,4.898307377,1.83,0.535714286,2.16E-08,0.305951021
AlCuO3,5.648616041,5.648616041,10.488773,0,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.760208911,0.535714286,289.8273901,4.762021986,1.83,0.535714286,0.384806564,0.099146186
AlCuO3,6.781667,4.709123,6.232749403,0.35,0.82,0.675,1.26,1.9,1.61,3.44,1.235784,0.432835,1.461112979,0.760208911,0.535714286,198.4287606,4.636977018,1.83,0.535714286,0.181757069,0.14481409
AlFe3B,3.822322,3.822322,3.822322,0,0.675,0.41,0.8525,1.61,2.04,1.83,0.432835,0.27972325,0.15323635,0.855658409,0.480938416,55.84468046,6.105405143,0.21,0.480938416,1.42E-16,0.167653601
AlFe3C,3.78948866,3.78990736,3.78993006,0,0.675,0.3,0.8525,1.61,2.55,1.83,0.432835,1.262122611,0.15323635,0.937326457,0.351906158,54.43025909,6.300659849,0.72,0.351906158,6.56E-05,0.168784123
AlFe3N,3.717861,3.717861,3.717861,0,0.675,0.63,0.8525,1.61,3.04,1.83,0.432835,-0.07,0.15323635,0.728680432,0.739002933,51.39009804,6.737893042,1.21,0.739002933,1.46E-16,0.196949626
AlFeO3,3.1875995,3.1875995,11.964116,0,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,105.2782828,4.12695921,1.83,0.535714286,0.828895326,0.275659142
AlFeO3,3.801023,3.801023,3.801023,0,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,54.91632829,3.955828732,1.83,0.535714286,1.43E-16,0.528457055
AlFeO3,4.868112,5.121179,7.339769,2.1089,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,182.9839124,4.748823794,1.83,0.535714286,0.235417973,0.158598211
AlFeO3,4.886171,4.935838,7.438778,1.3295,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,179.4036014,4.843594836,1.83,0.535714286,0.253688661,0.161763314
AlFeO3,4.963586851,4.963348703,9.494494209,2.1792,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,193.1252097,4.499455863,1.83,0.535714286,0.404088066,0.150269979
AlFeO3,4.974753428,4.999717351,7.945401365,0.6687,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,197.5586951,4.398481965,1.83,0.535714286,0.285930087,0.146897716
AlFeO3,4.982350367,5.00152093,7.943456491,1.3608,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,197.9087281,4.390702551,1.83,0.535714286,0.285166032,0.146637904
AlFeO3,5.044116,8.669206,9.376979,1.9962,0.8525,0.675,1.26,1.83,1.61,3.44,0.15323635,0.432835,1.461112979,0.772087175,0.535714286,410.0410451,4.238396949,1.83,0.535714286,0.301991851,0.070775649
AlGaO3,4.889231,5.009529,7.448018,3.0761,0.76,0.675,1.26,1.81,1.61,3.44,0.30116615,0.432835,1.461112979,0.738279808,0.535714286,182.4224018,5.268750946,1.83,0.535714286,0.249702176,0.154939819
AlGaO3,4.995092,8.625028,9.159761,3.4264,0.76,0.675,1.26,1.81,1.61,3.44,0.30116615,0.432835,1.461112979,0.738279808,0.535714286,394.6282278,4.871107205,1.83,0.535714286,0.298413024,0.071623092
AlGaO3,5.001676,8.601477,9.277844,3.5313,0.76,0.675,1.26,1.81,1.61,3.44,0.30116615,0.432835,1.461112979,0.738279808,0.535714286,399.149559,4.815930171,1.83,0.535714286,0.301378061,0.070811788
AlInO3,3.283820397,3.283820397,12.023484,2.162,0.94,0.675,1.26,1.78,1.61,3.44,0.299,0.432835,1.461112979,0.804067118,0.535714286,112.2844765,5.613715616,1.83,0.535714286,0.814234833,0.266331185
AlInO3,3.714679,3.714679,3.714679,0,0.94,0.675,1.26,1.78,1.61,3.44,0.299,0.432835,1.461112979,0.804067118,0.535714286,51.25826144,6.148600261,1.83,0.535714286,0,0.583415372
AlInO3,5.119892,5.296575,7.483319,0,0.94,0.675,1.26,1.78,1.61,3.44,0.299,0.432835,1.461112979,0.804067118,0.535714286,202.9318362,6.212264484,1.83,0.535714286,0.220643185,0.147364052
AlInS3,6.771139126,6.770227804,17.96964451,2.0813,0.94,0.675,0.88,1.78,1.61,2.58,0.299,0.432835,2.07710426,0.827735507,0.767045455,713.3884529,3.323848829,0.97,0.767045455,0.615567977,0.018686903
AlInSe3,7.074358422,7.068211916,18.84396187,1.6333,0.94,0.675,1.013333333,1.78,1.61,2.55,0.299,0.432835,2.020604712,0.818217487,0.666118421,815.5387503,4.62623389,0.94,0.666118421,0.618157621,0.021878971
AlIrO3,3.664087,3.664087,3.664087,0,0.765,0.675,1.26,2.2,1.61,3.44,1.56405712,0.432835,1.461112979,0.740107233,0.535714286,49.19232293,9.019509479,1.83,0.535714286,0,0.575313853
AlMoO3,3.263100437,3.263100437,12.403619,0,0.775,0.675,1.26,2.16,1.61,3.44,0.747238,0.432835,1.461112979,0.743762084,0.535714286,114.377314,4.962853093,1.83,0.535714286,0.836344068,0.248087063
AlMoO3,4.007721,4.007721,4.007721,0,0.775,0.675,1.26,2.16,1.61,3.44,0.747238,0.432835,1.461112979,0.743762084,0.535714286,64.37132383,4.409089115,1.83,0.535714286,0,0.440810134
AlMoO3,5.194591,5.221372,8.205346,1.4177,0.775,0.675,1.26,2.16,1.61,3.44,0.747238,0.432835,1.461112979,0.743762084,0.535714286,222.5527134,5.10115377,1.83,0.535714286,0.278806555,0.127500274
AlMoO3,5.546971423,5.546971423,12.040976,0.7348,0.775,0.675,1.26,2.16,1.61,3.44,0.747238,0.432835,1.461112979,0.743762084,0.535714286,320.8516002,5.307479902,1.83,0.535714286,0.486189122,0.088438181
AlNi3C,3.76114,3.76114,3.76114,0,0.675,0.3,0.74,1.61,2.55,1.91,0.432835,1.262122611,1.1571612,0.962218475,0.405405405,53.20574125,6.712361825,0.64,0.405405405,1.45E-16,0.122045882
AlNi3Sb,4.119012788,4.119012788,4.938456,0,0.83,0.675,0.74,2.05,1.61,1.91,1.04740119,0.432835,1.1571612,0.784682204,0.912162162,72.56830524,7.432710256,0.3,0.912162162,0.107715954,0.120928001
AlNiO3,3.110613354,3.110613354,11.1539,0,0.74,0.675,1.26,1.91,1.61,3.44,1.1571612,0.432835,1.461112979,0.730970107,0.535714286,93.46510596,4.749782639,1.83,0.535714286,0.801800261,0.300894259
AlNiO3,3.657863,3.657863,3.657863,0,0.74,0.675,1.26,1.91,1.61,3.44,1.1571612,0.432835,1.461112979,0.730970107,0.535714286,48.94206694,4.535351338,1.83,0.535714286,1.49E-16,0.574620477
AlNiO3,3.659524,3.659524,3.659524,0,0.74,0.675,1.26,1.91,1.61,3.44,1.1571612,0.432835,1.461112979,0.730970107,0.535714286,49.00876957,4.529178568,1.83,0.535714286,0,0.573838399
AlNiO3,4.563563002,4.881148049,8.004403086,0,0.74,0.675,1.26,1.91,1.61,3.44,1.1571612,0.432835,1.461112979,0.730970107,0.535714286,178.3014862,4.979643715,1.83,0.535714286,0.326927686,0.157727871
AlNiO3,5.41073838,5.41073838,11.029357,0,0.74,0.675,1.26,1.91,1.61,3.44,1.1571612,0.432835,1.461112979,0.730970107,0.535714286,279.6365121,4.76267138,1.83,0.535714286,0.44537124,0.10057025
AlPbO3,3.83448,3.83448,3.83448,0,1.1225,0.675,1.26,2.33,1.61,3.44,0.3567212,0.432835,1.461112979,0.87076814,0.535714286,56.37926771,8.311042316,1.83,0.535714286,1.42E-16,0.573795327
AlPdO3,3.21994597,3.21994597,11.864006,0,0.84625,0.675,1.26,2.2,1.61,3.44,0.5621412,0.432835,1.461112979,0.769802894,0.535714286,106.5268686,5.655312255,1.83,0.535714286,0.817965179,0.27189628
AlPdO3,6.63104832,6.63104832,5.34455237,0,0.84625,0.675,1.26,2.2,1.61,3.44,0.5621412,0.432835,1.461112979,0.769802894,0.535714286,229.8935628,5.241057627,1.83,0.535714286,0.119756994,0.125989867
AlRhO3,3.117126484,3.117126484,11.75262546,1.7659,0.745,0.675,1.26,2.28,1.61,3.44,1.142892,0.432835,1.461112979,0.732797532,0.535714286,98.8950114,5.973716649,1.83,0.535714286,0.831557462,0.2847237
AlSBr3,7.934782186,7.934782186,6.968014,0.1479,0.88,0.675,0.8825,2.58,1.61,2.96,2.07710426,0.432835,3.3635883,0.80029787,0.764872521,379.9353112,2.61149838,1.35,0.764872521,0.073321768,0.033636293
AlSbO3,3.516444143,3.516444143,12.703106,0,0.83,0.675,1.26,2.05,1.61,3.44,1.04740119,0.432835,1.461112979,0.763863762,0.535714286,136.0341629,4.803117319,1.83,0.535714286,0.80623073,0.21186451
AlSbO3,3.753959,3.753959,3.753959,1.1346,0.83,0.675,1.26,2.05,1.61,3.44,1.04740119,0.432835,1.461112979,0.763863762,0.535714286,52.9015717,6.175506916,1.83,0.535714286,0,0.544800662
AlSbO3,4.051755,4.051755,4.051755,0,0.83,0.675,1.26,2.05,1.61,3.44,1.04740119,0.432835,1.461112979,0.763863762,0.535714286,66.51652159,4.911471828,1.83,0.535714286,0,0.433288011
AlSbO3,5.259396,5.351299,9.212671,0,0.83,0.675,1.26,2.05,1.61,3.44,1.04740119,0.432835,1.461112979,0.763863762,0.535714286,259.2869453,5.039883847,1.83,0.535714286,0.341470096,0.111154116
AlSbO3,5.503217172,5.118104501,11.5303107,3.9107,0.83,0.675,1.26,2.05,1.61,3.44,1.04740119,0.432835,1.461112979,0.763863762,0.535714286,324.7624693,4.023790342,1.83,0.535714286,0.487017232,0.088744279
AlSbO3,5.67946391,5.67946391,13.101949,1.2462,0.83,0.675,1.26,2.05,1.61,3.44,1.04740119,0.432835,1.461112979,0.763863762,0.535714286,366.0001212,5.35563793,1.83,0.535714286,0.525578923,0.07874536
