formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index
LaMnO3,6.847261829,6.847318954,6.8746787,0,1.172,0.8775,1.26,1.1,1.55,3.44,0.5575462,-0.52,1.461112979,0.804651894,0.696428571,248.5359754,6.463251287,1.89,0.696428571,0.002306258,0.13966201
LaMnO3,10.297857,5.674393,6.043189751,0.9889,1.172,0.8775,1.26,1.1,1.55,3.44,0.5575462,-0.52,1.461112979,0.804651894,0.696428571,333.3011409,4.819516844,1.89,0.696428571,0.350143471,0.10414316
LaMnO3,10.474801,5.716901,6.227644206,1.6926,1.172,0.8775,1.26,1.1,1.55,3.44,0.5575462,-0.52,1.461112979,0.804651894,0.696428571,332.1145957,4.836735523,1.89,0.696428571,0.349526167,0.104515232
LaMoN3,3.89039,5.83559,7.987789533,1.2238,1.172,0.775,0.63,1.1,2.16,3.04,0.5575462,0.747238,-0.07,0.907045458,1.23015873,171.5619197,5.359535448,0.88,1.23015873,0.347114888,0.068985493
LaMoN3,3.898316,3.898316,4.65975,0,1.172,0.775,0.63,1.1,2.16,3.04,0.5575462,0.747238,-0.07,0.907045458,1.23015873,70.81360397,6.492341435,0.88,1.23015873,0.105876841,0.167132908
LaMoN3,5.740910484,5.740910484,5.740909642,1.1509,1.172,0.775,0.63,1.1,2.16,3.04,0.5575462,0.747238,-0.07,0.907045458,1.23015873,133.3244203,6.896652452,0.88,1.23015873,8.46E-08,0.088770561
LaMoN3,7.386663758,7.386663758,6.302621913,2.0751,1.172,0.775,0.63,1.1,2.16,3.04,0.5575462,0.747238,-0.07,0.907045458,1.23015873,326.4614816,5.63308226,0.88,1.23015873,0.089088065,0.036253231
LaMoN3,7.703679827,7.703679827,3.96224662,0.8051,1.172,0.775,0.63,1.1,2.16,3.04,0.5575462,0.747238,-0.07,0.907045458,1.23015873,162.759049,5.64940749,0.88,1.23015873,0.334562939,0.072716593
LaNi3B,5.955957335,5.955957335,5.955957335,0,1.172,0.41,0.74,1.1,2.04,1.91,0.5575462,0.27972325,1.1571612,1.175819445,0.554054054,142.9727536,7.567848904,0.13,0.554054054,0,0.084800594
LaNi3B,9.603839721,9.603839721,7.160559,0,1.172,0.41,0.74,1.1,2.04,1.91,0.5575462,0.27972325,1.1571612,1.175819445,0.554054054,583.0430279,7.423096718,0.13,0.554054054,0.160491811,0.020794648
LaNi3B,9.64092516,9.64092516,7.130319,0,1.172,0.41,0.74,1.1,2.04,1.91,0.5575462,0.27972325,1.1571612,1.175819445,0.554054054,582.0525455,7.435728647,0.13,0.554054054,0.164639919,0.020830034
LaNiGe3,4.402065012,4.402063042,5.756151097,0,1.172,0.74,0.77,1.1,1.91,2.01,0.5575462,1.1571612,1.232676413,0.909542231,0.961038961,93.81064215,7.355085743,0.1,0.961038961,0.161078478,0.151130456
LaNiO3,3.856999,3.856999,3.856999,0,1.172,0.74,1.26,1.1,1.91,3.44,0.5575462,1.1571612,1.461112979,0.859971711,0.587301587,57.37841916,7.107611805,1.53,0.587301587,0,0.585205185
LaNiO3,5.381489902,5.381490106,5.381483561,0,1.172,0.74,1.26,1.1,1.91,3.44,0.5575462,1.1571612,1.461112979,0.859971711,0.587301587,112.4395912,7.254091285,1.53,0.587301587,6.91E-07,0.298632786
LaNiO3,5.381580764,7.648700618,5.472790436,0,1.172,0.74,1.26,1.1,1.91,3.44,0.5575462,1.1571612,1.461112979,0.859971711,0.587301587,225.2328509,7.242700657,1.53,0.587301587,0.208084825,0.149081931
