formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
SrTcN3,3.756696771,6.465001679,6.670802246,0.5244,1.32,0.741666667,0.63,0.95,1.9,3.04,0.052066,0.552,-0.07,1.005394759,1.177248677,149.7316212,5.049104206,1.14,1.177248677,0.288822017,0.09674082,-0.448153988,0.54424004,1,Other,1,1
SrTcN3,6.088211309,7.525325655,7.525326328,1.5818,1.32,0.741666667,0.63,0.95,1.9,3.04,0.052066,0.552,-0.07,1.005394759,1.177248677,332.2089201,4.551416369,1.14,1.177248677,0.117752578,0.043602561,0.948640861,-0.262597107,1,Other,1,1
SrTeO3,5.955489,9.200745106,12.31902841,3.174,1.32,1.293333333,1.26,0.95,2.1,3.44,0.052066,1.9708757,1.461112979,0.714599621,1.026455026,632.3339985,4.147340853,1.34,1.026455026,0.347437717,0.069320115,2.274451524,0.839653428,0,Other,1,1
SrTeO3,7.23965219,6.791806534,8.679399906,3.6116,1.32,1.293333333,1.26,0.95,2.1,3.44,0.052066,1.9708757,1.461112979,0.714599621,1.026455026,343.0493269,5.096457796,1.34,1.026455026,0.13028259,0.127775984,1.293792134,-0.425212128,0,Other,1,1
SrTiO3,3.91270131,3.91270131,3.91270131,1.772,1.32,0.851666667,1.26,0.95,1.54,3.44,0.052066,0.075545,1.461112979,0.864062052,0.675925926,59.90045031,5.086511724,1.9,0.675925926,1.39E-16,0.623687333,-1.763502548,-0.042985468,1,Ti,1,4
SrTiO3,5.522329701,5.522329559,5.534898479,1.8488,1.32,0.851666667,1.26,0.95,1.54,3.44,0.052066,0.075545,1.461112979,0.864062052,0.675925926,119.625078,5.093987782,1.9,0.675925926,0.001313056,0.312302008,-0.313514197,-0.40026925,1,Ti,1,4
SrTiO3,5.533921315,5.533921683,5.533925593,1.787,1.32,0.851666667,1.26,0.95,1.54,3.44,0.052066,0.075545,1.461112979,0.864062052,0.675925926,119.7846037,5.087203752,1.9,0.675925926,4.28E-07,0.311886093,-0.305081572,-0.405830165,1,Ti,1,4
SrTiO3,5.628854383,5.628854383,13.886038,1.7362,1.32,0.851666667,1.26,0.95,1.54,3.44,0.052066,0.075545,1.461112979,0.864062052,0.675925926,381.0210669,4.797913331,1.9,0.675925926,0.568803913,0.098050096,1.09150941,1.522501446,1,Ti,1,4
SrWN3,3.674235249,6.354455054,6.648418908,1.1076,1.32,0.766666667,0.63,0.95,2.36,3.04,0.052066,0.81650082,-0.07,0.987398433,1.216931217,144.650573,7.197288499,0.68,1.216931217,0.294815472,0.101374363,-0.523091651,0.578288189,1,Other,1,1
SrWN3,3.82253228,6.427569316,6.700715156,1.2682,1.32,0.766666667,0.63,0.95,2.36,3.04,0.052066,0.81650082,-0.07,0.987398433,1.216931217,152.7914593,6.813809556,0.68,1.216931217,0.281181177,0.095973032,-0.432494911,0.526199225,1,Other,1,1
