formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
CsCaF3,4.66,4.66,4.66,,1.81,1,1.33,0.79,1,3.98,0.47,0.02,3.4,0.952925018,0.751879699,101.194696,3.76758861,2.98,0.751879699,0,0.578996153,2.18878,0.142139041,Stable_Cubic,Ca,0,0
CsMnI3,5.74,5.74,5.74,,1.81,0.67,2.2,0.79,1.55,2.66,0.47,-0.5,3.06,0.987978464,0.304545455,189.119224,4.991650082,1.11,0.304545455,1.55E-16,0.84552477,2.39036,0.483187138,Stable_Cubic,Mn,1,4
CsMnBr3,5.26,5.26,5.26,,1.81,0.67,1.96,0.79,1.55,2.96,0.47,-0.5,3.36,1.01360934,0.341836735,145.531576,4.877847609,1.41,0.341836735,0,0.82949156,2.25188,0.474943232,Stable_Cubic,Mn,1,4
CsMnCl3,5.208,5.208,12.152,,1.81,0.67,1.81,0.79,1.55,3.16,0.47,-0.5,3.61,1.032147802,0.370165746,329.6019041,1.481177001,1.61,0.370165746,0.435142635,0.305257937,2.16533,0.468021313,Unstable_Hexagonal,Mn,1,4
CsMnF3,4.2,4.2,9.8,,1.81,0.67,1.33,0.79,1.55,3.98,0.47,-0.5,3.4,1.110157646,0.503759398,172.872,2.348570214,2.43,0.503759398,0.435142635,0.321986109,1.88837,0.428723561,Unstable_Hexagonal,Mn,1,4
CsFeI3,5.68,5.68,5.68,,1.81,0.64,2.2,0.79,1.83,2.66,0.47,0.16,3.06,0.998414857,0.290909091,183.250432,5.159668469,0.83,0.290909091,0,0.871720846,2.31705,0.500206576,Stable_Cubic,Fe,1,1
CsFeBr3,5.46,5.46,12.74,,1.81,0.64,1.96,0.79,1.83,2.96,0.47,0.16,3.36,1.025304833,0.326530612,379.799784,1.873027226,1.13,0.326530612,0.435142635,0.31741842,2.17857,0.494033374,Unstable_Hexagonal,Fe,1,1
CsFeCl3,5.145,5.145,12.005,,1.81,0.64,1.81,0.79,1.83,3.16,0.47,0.16,3.61,1.044786346,0.35359116,317.7846551,1.540959383,1.33,0.35359116,0.435142635,0.316100317,2.09202,0.488674996,Unstable_Hexagonal,Fe,1,1
CsFeF3,4.137,4.137,9.653,,1.81,0.64,1.33,0.79,1.83,3.98,0.47,0.16,3.4,1.1270636,0.481203008,165.2088652,2.466553569,2.15,0.481203008,0.435142635,0.335942116,1.81506,0.456623439,Unstable_Hexagonal,Fe,1,1
RbPbI3,9.252775075,9.444542434,13.3566,,1.72,1.19,2.2,0.82,2.33,2.66,0.49,0.36,3.06,0.817657399,0.540909091,1167.20959,0.957875596,0.33,0.540909091,0.17698145,0.13894671,2.48247,0.195661054,Unstable_Distorted,Pb,1,5
RbPbBr3,8.820449989,8.820449989,12.663,,1.72,1.19,1.96,0.82,2.33,2.96,0.49,0.36,3.36,0.826080303,0.607142857,985.1856801,0.897196802,0.63,0.607142857,0.179323003,0.124841602,2.34399,0.154788774,Metastable,Pb,1,5
RbPbCl3,8.40042856,8.40042856,12.06,,1.72,1.19,1.81,0.82,2.33,3.16,0.49,0.36,3.61,0.832028979,0.657458564,851.040432,0.778133831,0.83,0.657458564,0.179323003,0.12089736,2.25744,0.123421284,Metastable,Pb,1,5
RbPbF3,7.056359991,7.056359991,10.1304,,1.72,1.19,1.33,0.82,2.33,3.98,0.49,0.36,3.4,0.855823684,0.894736842,504.4150682,1.149899475,1.65,0.894736842,0.179323003,0.114860421,1.98048,-0.027511603,Metastable,Pb,1,5
RbSnI3,9.240471417,9.240471417,13.266,,1.72,1.1,2.2,0.82,1.96,2.66,0.49,1.11,3.06,0.839957146,0.5,1132.734815,0.857291379,0.7,0.5,0.179323003,0.141865892,2.50454,0.240349702,Metastable,Sn,1,6
RbSnBr3,8.568437132,8.568437132,12.3012,,1.72,1.1,1.96,0.82,1.96,2.96,0.49,1.11,3.36,0.850376783,0.56122449,903.1309148,0.815992056,1,0.56122449,0.179323003,0.134541581,2.36606,0.204430671,Metastable,Sn,1,6
RbSnCl3,8.148415704,8.148415704,11.6982,,1.72,1.1,1.81,0.82,1.96,3.16,0.49,1.11,3.61,0.857761834,0.607734807,776.7216242,0.663385112,1.2,0.607734807,0.179323003,0.130555196,2.27951,0.176769109,Metastable,Sn,1,6
RbSnF3,6.804347134,6.804347134,9.7686,,1.72,1.1,1.33,0.82,1.96,3.98,0.49,1.11,3.4,0.887520857,0.827067669,452.2777782,0.957528432,2.02,0.827067669,0.179323003,0.124821143,2.00255,0.042740404,Metastable,Sn,1,6
RbGeI3,5.86,5.86,5.86,,1.72,0.73,2.2,0.82,2.01,2.66,0.49,1.23,3.06,0.94602682,0.331818182,201.230056,4.4453245,0.65,0.331818182,0,0.778962493,2.28105,0.434245507,Stable_Cubic,Ge,1,2
RbGeBr3,5.38,5.38,5.38,,1.72,0.73,1.96,0.82,2.01,2.96,0.49,1.23,3.36,0.967343106,0.37244898,155.720872,4.240900719,0.95,0.37244898,0,0.754959115,2.14257,0.420590147,Stable_Cubic,Ge,1,2
RbGeCl3,5.08,5.08,5.08,,1.72,0.73,1.81,0.82,2.01,3.16,0.49,1.23,3.61,0.982711393,0.403314917,131.096512,3.346501454,1.15,0.403314917,0,0.743416231,2.05602,0.409633308,Stable_Cubic,Ge,1,2
RbGeF3,4.326,4.326,10.094,,1.72,0.73,1.33,0.82,2.01,3.98,0.49,1.23,3.4,1.046929943,0.54887218,188.9019019,1.887317885,1.97,0.54887218,0.435142635,0.277964698,1.77906,0.352126838,Unstable_Hexagonal,Ge,1,2
RbZnI3,5.88,5.88,5.88,,1.72,0.74,2.2,0.82,1.65,2.66,0.49,-0.6,3.06,0.942809042,0.336363636,203.297472,4.340491534,1.01,0.336363636,1.51E-16,0.771374834,2.35882,0.428756901,Stable_Cubic,Zn,1,8
RbZnBr3,5.4,5.4,5.4,,1.72,0.74,1.96,0.82,1.65,2.96,0.49,-0.6,3.36,0.963760354,0.37755102,157.464,4.1169716,1.31,0.37755102,1.64E-16,0.747032842,2.22034,0.414449999,Stable_Cubic,Zn,1,8
RbZnCl3,5.1,5.1,5.1,,1.72,0.74,1.81,0.82,1.65,3.16,0.49,-0.6,3.61,0.978857623,0.408839779,132.651,3.215902828,1.51,0.408839779,0,0.735216188,2.13379,0.403002615,Stable_Cubic,Zn,1,8
RbZnF3,4.347,4.347,10.143,,1.72,0.74,1.33,0.82,1.65,3.98,0.49,-0.6,3.4,1.04187231,0.556390977,191.6662765,1.796852333,2.33,0.556390977,0.435142635,0.274309852,1.85683,0.343235302,Unstable_Hexagonal,Zn,1,8
RbMgI3,5.84,5.84,5.84,,1.72,0.72,2.2,0.82,1.31,2.66,0.49,-0.4,3.06,0.949266638,0.327272727,199.176704,4.088474202,1.35,0.327272727,0,0.786661341,2.41528,0.439749695,Stable_Cubic,Mg,0,3
RbMgBr3,5.36,5.36,5.36,,1.72,0.72,1.96,0.82,1.31,2.96,0.49,-0.4,3.36,0.970952595,0.367346939,153.990656,3.767713516,1.65,0.367346939,0,0.763012781,2.2768,0.426749199,Stable_Cubic,Mg,0,3
RbMgCl3,5.06,5.06,5.06,,1.72,0.72,1.81,0.82,1.31,3.16,0.49,-0.4,3.61,0.986595628,0.397790055,129.554216,2.767262981,1.85,0.397790055,0,0.751756483,2.19025,0.41628554,Stable_Cubic,Mg,0,3
RbMgF3,4.305,4.305,10.045,,1.72,0.72,1.33,0.82,1.31,3.98,0.49,-0.4,3.4,1.052036918,0.541353383,186.1642361,1.48424779,2.67,0.541353383,0.435142635,0.281697539,1.91329,0.361053259,Unstable_Hexagonal,Mg,0,3
RbCaI3,8.960457131,8.960457131,12.864,,1.72,1,2.2,0.82,1,2.66,0.49,0.02,3.06,0.866205807,0.454545455,1032.847884,0.813671894,1.66,0.454545455,0.179323003,0.154243377,2.63884,0.291043869,Metastable,Ca,0,0
RbCaBr3,8.288422846,8.288422846,11.8992,,1.72,1,1.96,0.82,1,2.96,0.49,0.02,3.36,0.879105728,0.510204082,817.4506857,0.741651043,1.96,0.510204082,0.179323003,0.1469473,2.50036,0.260813464,Metastable,Ca,0,0
RbCaCl3,7.868401418,7.868401418,11.2962,,1.72,1,1.81,0.82,1,3.16,0.49,0.02,3.61,0.888287166,0.552486188,699.3674073,0.549898465,2.16,0.552486188,0.179323003,0.14301289,2.41381,0.237411292,Metastable,Ca,0,0
RbCaF3,4.66,4.66,4.66,,1.72,1,1.33,0.82,1,3.98,0.49,0.02,3.4,0.925611881,0.751879699,101.194696,2.988144102,2.98,0.751879699,0,0.544172195,2.13685,0.122828652,Stable_Cubic,Ca,0,0
RbMnI3,5.74,5.74,5.74,,1.72,0.67,2.2,0.82,1.55,2.66,0.49,-0.5,3.06,0.965804384,0.304545455,189.119224,4.574581694,1.11,0.304545455,1.55E-16,0.826891023,2.33843,0.467510063,Stable_Cubic,Mn,1,4
RbMnBr3,5.26,5.26,5.26,,1.72,0.67,1.96,0.82,1.55,2.96,0.49,-0.5,3.36,0.98941177,0.341836735,145.531576,4.335864541,1.41,0.341836735,0,0.805276885,2.19995,0.45783555,Stable_Cubic,Mn,1,4
RbMnCl3,4.96,4.96,4.96,,1.72,0.67,1.81,0.82,1.55,3.16,0.49,-0.5,3.61,1.006486668,0.370165746,122.023936,3.354449327,1.61,0.370165746,0,0.795660265,2.1134,0.449878892,Stable_Cubic,Mn,1,4
RbMnF3,4.2,4.2,9.8,,1.72,0.67,1.33,0.82,1.55,3.98,0.49,-0.5,3.4,1.078337841,0.503759398,172.872,1.892304017,2.43,0.503759398,0.435142635,0.301601085,1.83644,0.406226959,Unstable_Hexagonal,Mn,1,4
RbFeI3,5.68,5.68,5.68,,1.72,0.64,2.2,0.82,1.83,2.66,0.49,0.16,3.06,0.976006543,0.290909091,183.250432,4.729243018,0.83,0.290909091,0,0.852490332,2.26512,0.484363899,Stable_Cubic,Fe,1,1
