material_id,formula,bandgap,elements,num_elements
mp-5145,Ag3AsSe3,0.845299999999999,"[Element Ag, Element As, Element Se]",3
mp-662599,Ag3AsSe3,0.9037000000000001,"[Element Ag, Element As, Element Se]",3
mp-27554,Ag3AuS2,0.18029999999999902,"[Element Ag, Element Au, Element S]",3
mp-34460,Ag3AuS2,1.563399999999999,"[Element Ag, Element Au, Element S]",3
mp-34982,Ag3AuS2,0.39320000000000005,"[Element Ag, Element Au, Element S]",3
mp-1194638,Ag3B5O9,1.8021,"[Element Ag, Element B, Element O]",3
mp-561550,Ag3BO3,0.8717,"[Element Ag, Element B, Element O]",3
mp-1229165,Ag3Bi7S12,0.6774999999999991,"[Element Ag, Element Bi, Element S]",3
mp-505145,Ag3BiO3,1.546999999999999,"[Element Ag, Element Bi, Element O]",3
mp-17862,Ag3Ge5P6,0.5388000000000001,"[Element Ag, Element Ge, Element P]",3
mp-562667,Ag3N5O6,2.1573,"[Element Ag, Element N, Element O]",3
mp-1229128,Ag3PO4,0.42099999999999904,"[Element Ag, Element O, Element P]",3
mp-4198,Ag3PO4,0.17849999999999902,"[Element Ag, Element O, Element P]",3
mp-12459,Ag3PS4,0.9914000000000001,"[Element Ag, Element P, Element S]",3
mp-30908,Ag3PSe4,0.174399999999999,"[Element Ag, Element P, Element Se]",3
mp-1105645,Ag3SBr,0.2964,"[Element Ag, Element Br, Element S]",3
mp-1229116,Ag3SBr,0.39870000000000005,"[Element Ag, Element Br, Element S]",3
mp-36600,Ag3SBr,0.39769999999999905,"[Element Ag, Element Br, Element S]",3
mp-1173025,Ag3SI,0.33980000000000005,"[Element Ag, Element I, Element S]",3
mp-22995,Ag3SI,0.5478000000000001,"[Element Ag, Element I, Element S]",3
mp-558189,Ag3SI,0.6242999999999991,"[Element Ag, Element I, Element S]",3
mp-632480,Ag3SI,0.167599999999999,"[Element Ag, Element I, Element S]",3
mp-673825,Ag3SI,0.256999999999999,"[Element Ag, Element I, Element S]",3
mp-674981,Ag3SI,0.262399999999999,"[Element Ag, Element I, Element S]",3
mp-675879,Ag3SI,0.32160000000000005,"[Element Ag, Element I, Element S]",3
mp-676121,Ag3SI,0.373899999999999,"[Element Ag, Element I, Element S]",3
mp-676561,Ag3SI,0.333,"[Element Ag, Element I, Element S]",3
mp-1215087,Ag3SI3,0.279999999999999,"[Element Ag, Element I, Element S]",3
mp-1215096,Ag3SI3,0.36599999999999905,"[Element Ag, Element I, Element S]",3
mp-1104271,Ag3SbS3,1.8371,"[Element Ag, Element S, Element Sb]",3
mp-4515,Ag3SbS3,0.9521000000000001,"[Element Ag, Element S, Element Sb]",3
mp-555269,Ag3SbS3,1.5142,"[Element Ag, Element S, Element Sb]",3
mp-1215084,Ag3SbTe6,0.1705,"[Element Ag, Element Sb, Element Te]",3
mp-29849,Ag3SnP7,0.5034000000000001,"[Element Ag, Element P, Element Sn]",3
mp-5710,Ag3Te2Au,0.17250000000000001,"[Element Ag, Element Au, Element Te]",3
mp-28996,Ag4Bi2O5,1.7207999999999992,"[Element Ag, Element Bi, Element O]",3
mp-27482,Ag4P2S7,1.6556000000000002,"[Element Ag, Element P, Element S]",3
mp-1195808,Ag4Sn3S8,0.22930000000000003,"[Element Ag, Element S, Element Sn]",3
mp-1247859,Ag5Au3S4,0.9308999999999991,"[Element Ag, Element Au, Element S]",3
mp-1247860,Ag5Au3S4,1.0997,"[Element Ag, Element Au, Element S]",3
mp-28812,Ag5BiO4,1.5002,"[Element Ag, Element Bi, Element O]",3
mp-29536,Ag5CF4,1.9781,"[Element Ag, Element C, Element F]",3
mp-5563,Ag5GeO4,0.7290999999999991,"[Element Ag, Element Ge, Element O]",3
mp-4004,Ag5SbS4,0.5945,"[Element Ag, Element S, Element Sb]",3
mp-1215016,Ag5Te2Br,0.20789999999999903,"[Element Ag, Element Br, Element Te]",3
mp-569467,Ag5Te2Cl,0.23160000000000003,"[Element Ag, Element Cl, Element Te]",3
mp-573465,Ag5Te2Cl,0.198499999999999,"[Element Ag, Element Cl, Element Te]",3
mp-1205440,Ag6Mo10O33,1.8778000000000001,"[Element Ag, Element Mo, Element O]",3
mp-504579,Ag6Mo10O33,2.051,"[Element Ag, Element Mo, Element O]",3
mp-1229161,Ag6P6O19,0.42760000000000004,"[Element Ag, Element O, Element P]",3
mp-15077,Ag7AsS6,0.7299000000000001,"[Element Ag, Element As, Element S]",3
mp-683910,Ag7P3S11,1.455899999999999,"[Element Ag, Element P, Element S]",3
mp-1197032,Ag7PS6,0.9116000000000001,"[Element Ag, Element P, Element S]",3
mp-8594,Ag7PSe6,0.7841,"[Element Ag, Element P, Element Se]",3
mp-766328,Ag7Sb9O25,0.39829999999999904,"[Element Ag, Element O, Element Sb]",3
mp-679950,Ag8Ge3O10,0.2621,"[Element Ag, Element Ge, Element O]",3
mp-9770,Ag8GeS6,0.6102000000000001,"[Element Ag, Element Ge, Element S]",3
mp-676799,Ag8GeTe6,0.10110000000000001,"[Element Ag, Element Ge, Element Te]",3
mp-15645,Ag8SnS6,0.535099999999999,"[Element Ag, Element S, Element Sn]",3
mp-651048,Ag9(BiO3)2,0.5601,"[Element Ag, Element Bi, Element O]",3
mp-2646989,AgAsBr4,1.0937000000000001,"[Element Ag, Element As, Element Br]",3
mp-37153,AgAsF6,1.6805999999999992,"[Element Ag, Element As, Element F]",3
mp-997022,AgAsO2,2.3783,"[Element Ag, Element As, Element O]",3
mp-1178563,AgAsO3,0.2921,"[Element Ag, Element As, Element O]",3
mp-558950,AgAsO3,0.5930000000000001,"[Element Ag, Element As, Element O]",3
mp-775767,AgAsO3,0.7378,"[Element Ag, Element As, Element O]",3
mp-13740,AgAsS2,1.4968,"[Element Ag, Element As, Element S]",3
mp-542609,AgAsS2,1.577699999999999,"[Element Ag, Element As, Element S]",3
mp-570340,AgAuCl4,0.8406,"[Element Ag, Element Au, Element Cl]",3
mp-16060,AgAuF4,1.0268,"[Element Ag, Element Au, Element F]",3
mp-996983,AgAuO2,0.6522999999999991,"[Element Ag, Element Au, Element O]",3
mp-776165,AgAuO3,0.24230000000000002,"[Element Ag, Element Au, Element O]",3
mp-37920,AgAuS2,0.2197,"[Element Ag, Element Au, Element S]",3
mp-1194753,AgB3O5,2.3274,"[Element Ag, Element B, Element O]",3
mp-12021,AgBF4,3.157,"[Element Ag, Element B, Element F]",3
mp-559803,AgBO2,1.285299999999999,"[Element Ag, Element B, Element O]",3
mp-28965,AgBi2F12,0.3971,"[Element Ag, Element Bi, Element F]",3
mp-23474,AgBi3S5,0.5262,"[Element Ag, Element Bi, Element S]",3
mp-35909,AgBiI4,1.0457,"[Element Ag, Element Bi, Element I]",3
mp-996965,AgBiO2,0.7818,"[Element Ag, Element Bi, Element O]",3
mp-996968,AgBiO2,1.6897,"[Element Ag, Element Bi, Element O]",3
mp-996969,AgBiO2,1.4247,"[Element Ag, Element Bi, Element O]",3
